Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
0b000450,0.081004764486305,0,0.014771927142871,0.040715838326112,0,0.030256092490823,0,0.043283000862727,0,0,0,0.03338670512345,0,0.094195372176628,0.067303179695079,0.21928413552745,0.022463757823487,0.068309561013612,0.25727512646328,0,0,0.027750538868175,0.03,0.29148157938212654,0.9638183450238736
0b07a88f,0.070862187934488,0.0007,0.087276866827052,0.02578123702264,0,0.27036112046017,0.036135463700102,0,0.020111059485419,0,0,0.029209727741533,0.012069216070085,0.03593460491141,0.018222922711353,0.085609751705059,0.1938658138921,0.022187143860906,0.076771130600965,0,0,0.014878174100488,0,0.4454162820953167,0.8975671490382311
0bf42173,0.03681814451698,0.023526263366878,0.048432411073556,0.079343686378415,0,0.023489410882231,0,0.069079029197402,0.030941301270042,0.016766681626549,0.022828721308827,0,0,0.33794776533149,0.076601201042805,0.10557499667713,0.059152693512144,0,0.03357119355081,0.017529484904324,0.0045984501093238,0.013798565251092,0,0.4783367754125465,0.8769169292997423
0bf53fc6,0.12078545001844,0,0.1218050162534,0.053163613056038,0,0.20296504481295,0,0,0.069256864024392,0.0084873742175961,0,0.0001,0,0.15920152257435,0.031207475841606,0.067403832177118,0.06489167719765,0.056150302434379,0.044531858691655,0,0,0,0,0.4323370980509469,0.9005683836010193
0c0d8887,0.1494179994737,0,0.49083949968251,0.024727162043436,0,0.032446164923468,0.064507921074396,0,0,0.0065797609865355,0,0.032718371865968,0,0.10155819543196,0.011451961332867,0.030402096643204,0,0,0,0.025460505553319,0,0.029890360988633,0,0.6581394984928122,0.75510309900694
0c37e843,0.093301196783837,0,0.33033643825768,0.059403132479297,0,0.079461077514467,0.0073648833364133,0.016120910868853,0,0,0,0.027005261109603,0,0.087880062061519,0.061314626841944,0.11339423535199,0.013160137944608,0.0096877389231999,0.066338044034034,0,0,0.035232254492552,0,0.6752828635992634,0.751465074850174
0d6ef3a0,0.11975818451476,0,0.23812670104002,0.072489885302612,0,0.12611748704954,0,0.039389655833993,0,0,0.025013980506049,0.0021688205859047,0,0.012062564674803,0,0.057776145730033,0.055452774502121,0.046278519846848,0.20536528041332,0,0,0,0,0.49373430100624366,0.8691377306436053
0d7f880c,0.046733272224127,0,0.087529601875349,0.096488795401649,0,0.090760358400172,0.058047864615371,0.0233824502194,0.024501883387056,0,0.029836710280064,0,0,0.2566716215059,0.053120429239402,0.17305594163451,0.0001,0,0.054283702773567,0,0,0.0054713896266427,0.03,0.28443282266572,0.9689413693603738
0ea05ccb,0.11387261589643,0,0.48378460899613,0.077513663865981,0,0,0.068104759748356,0.0088736134263692,0,0,0,0.049428364529035,0,0.16025000108941,0.015228123310784,0.022944249137507,0,0,0,0,0,0,0,0.7229060344288021,0.6907055444666471
0f1cc324,0.077802103838972,0,0.31341391307896,0.11741225402099,0,0.028680917446715,0.043082382724299,0.037927754298682,0.02057198642055,0,0,0.022918791003952,0,0.16586511835013,0.068299588248373,0.049536281596915,0.01842619826212,0,0.030897697173081,0,0,0.0051650135362705,0,0.5597839959549075,0.828527322849732
